Gender,Age,Region,Parental_Education,Family_Income,Distance_from_School,Internet_Access,Absences,Failures,Study_Time_Category,G1,G2,G3,Family_Support,School_Support,Activities,Dropout_Risk
Male,18,Urban,Higher,22872,3.8,Yes,6,0,3,5,13,8,Yes,No,Yes,Low
Female,17,Rural,Primary,47602,4.9,No,6,0,3,16,15,10,Yes,No,No,Low
Female,18,Urban,Higher,41465,4.6,No,3,0,3,11,8,1,Yes,Yes,No,Medium
Female,16,Rural,Higher,16882,0.5,Yes,6,0,2,4,16,17,Yes,Yes,No,Low
Male,16,Urban,Secondary,16435,8.2,Yes,5,0,3,1,7,2,Yes,Yes,No,Medium
Male,15,Rural,Higher,21817,4.3,Yes,10,0,2,8,8,17,Yes,No,Yes,Low
Male,19,Rural,Secondary,19893,10.7,No,6,0,2,1,1,15,Yes,No,No,Low
Female,18,Rural,Secondary,45447,6.3,Yes,7,2,1,19,12,7,No,No,No,High
Female,15,Urban,Primary,36535,0.5,Yes,13,0,3,13,0,7,Yes,Yes,No,Low
Female,19,Urban,None,38366,1.2,Yes,8,0,2,14,6,5,Yes,Yes,Yes,Low
Male,18,Rural,Primary,32875,0.5,Yes,6,0,4,1,17,1,No,Yes,Yes,Medium
Female,17,Urban,Secondary,33581,1.1,Yes,5,0,3,17,20,15,Yes,Yes,Yes,Low
Female,18,Rural,Primary,6272,0.5,No,4,0,1,11,4,20,Yes,No,Yes,Low
Male,16,Urban,None,41912,5.8,Yes,3,1,2,6,6,8,Yes,Yes,Yes,Low
Male,16,Urban,Primary,21547,4.1,Yes,9,0,1,15,11,18,No,Yes,No,Low
Male,17,Rural,Secondary,29502,7.2,Yes,7,2,2,18,16,20,Yes,No,Yes,Medium
Male,15,Rural,Higher,22902,4.9,Yes,9,0,2,2,4,14,No,Yes,Yes,Low
Female,19,Urban,Higher,32188,4.3,Yes,6,0,3,14,11,1,Yes,No,Yes,Low
Male,18,Urban,Secondary,38596,11.0,Yes,7,3,2,14,18,14,Yes,Yes,No,Medium
Male,16,Urban,Higher,14867,5.7,Yes,4,0,2,6,12,10,Yes,No,No,Low
Female,15,Rural,Secondary,33791,4.8,No,6,0,1,7,15,19,Yes,Yes,No,Low
Male,17,Urban,Secondary,23264,2.4,No,4,1,2,6,18,11,Yes,Yes,No,Medium
Male,16,Rural,Secondary,49821,1.5,Yes,2,0,4,2,9,14,No,No,No,Low
Male,17,Rural,Primary,13280,7.3,No,4,0,2,18,11,15,Yes,No,No,Low
Male,18,Urban,Higher,14962,7.1,No,5,0,3,18,6,5,Yes,Yes,Yes,Medium
Female,19,Rural,Primary,24606,9.7,Yes,3,1,1,17,13,2,Yes,No,Yes,Medium
Male,16,Urban,Secondary,16115,6.4,Yes,6,0,2,6,9,5,Yes,No,Yes,Low
Female,16,Urban,Secondary,26634,3.8,Yes,2,0,2,18,7,2,Yes,Yes,Yes,Low
Female,18,Rural,Primary,22081,6.5,Yes,2,3,3,4,14,20,No,No,No,Medium
Male,15,Urban,Primary,31326,4.8,No,5,0,2,12,15,12,Yes,Yes,Yes,Low
Female,19,Urban,Secondary,45121,7.6,Yes,6,0,2,1,7,11,Yes,Yes,No,Low
Male,16,Urban,None,31069,9.0,Yes,4,1,3,17,3,7,No,Yes,Yes,Low
Male,19,Urban,Secondary,32435,4.5,Yes,2,0,2,3,16,1,Yes,Yes,Yes,Low
Female,16,Urban,Secondary,14140,10.3,Yes,5,0,1,3,3,6,No,Yes,Yes,Low
Female,19,Rural,Secondary,27989,8.6,Yes,7,0,2,7,10,16,No,Yes,No,Low
Female,17,Rural,Secondary,23673,5.1,Yes,9,1,1,10,12,6,Yes,Yes,No,Medium
Male,16,Rural,Secondary,40224,7.0,Yes,5,0,4,0,5,0,Yes,No,No,Medium
Male,19,Urban,Secondary,18531,5.9,No,7,3,2,8,13,3,No,No,No,High
Female,15,Urban,Secondary,17090,5.1,No,10,0,2,5,6,14,Yes,Yes,Yes,Low
Male,17,Urban,Secondary,34761,10.7,No,5,0,4,3,11,3,Yes,Yes,Yes,Low
Male,17,Urban,Secondary,59701,6.6,No,6,0,4,5,0,11,Yes,No,No,Low
Female,15,Urban,Higher,27360,2.5,No,7,0,2,12,9,15,Yes,Yes,No,Low
Male,19,Urban,Primary,32523,1.9,Yes,6,0,3,8,0,20,Yes,Yes,Yes,
Female,18,Urban,Secondary,44220,2.0,Yes,9,1,1,13,15,17,No,Yes,Yes,Low
Male,15,Urban,Higher,37648,6.5,Yes,6,0,3,11,6,13,No,No,No,Low
Female,19,Rural,Primary,37747,4.0,Yes,4,0,2,3,19,13,No,Yes,Yes,Low
Male,15,Rural,Primary,28572,6.0,Yes,7,3,2,7,5,10,Yes,Yes,No,High
Female,15,Rural,Secondary,28863,7.8,No,3,0,2,16,17,15,Yes,No,No,Low
Female,16,Rural,Primary,18672,11.1,Yes,4,3,4,4,19,14,Yes,Yes,Yes,High
Male,19,Rural,Primary,37295,4.0,Yes,3,0,1,2,3,5,Yes,Yes,Yes,Low
Female,18,Urban,Higher,36953,0.8,Yes,5,0,2,3,15,12,No,No,No,Low
Female,16,Urban,Secondary,40757,10.4,Yes,2,1,3,7,0,16,Yes,Yes,No,Low
Female,15,Rural,Primary,22678,0.6,No,3,1,3,15,20,3,No,No,No,Medium
Female,15,Rural,Higher,42452,0.5,Yes,3,0,3,10,19,11,Yes,Yes,No,Low
Female,15,Rural,Higher,47000,10.3,Yes,7,0,3,1,1,17,No,Yes,No,Low
Female,19,Rural,Secondary,11790,8.2,Yes,4,0,3,7,15,7,Yes,Yes,Yes,Low
Male,19,Urban,Primary,25546,6.5,No,7,0,2,6,20,11,Yes,No,No,Low
Male,16,Rural,Higher,47625,4.9,Yes,5,1,2,0,8,3,Yes,Yes,Yes,Medium
Male,18,Rural,Secondary,20256,4.3,Yes,3,0,2,1,14,7,Yes,Yes,Yes,Low
Male,16,Urban,Secondary,37931,3.0,No,7,1,4,12,15,1,Yes,No,Yes,Medium
Male,17,Rural,Higher,30128,4.2,Yes,4,0,2,10,8,3,No,No,Yes,Low
Male,15,Urban,Secondary,34963,4.9,Yes,4,0,2,2,6,11,Yes,Yes,Yes,Low
Female,15,Rural,Primary,30585,0.9,Yes,5,1,3,1,9,20,Yes,Yes,No,Low
Male,15,Rural,Secondary,41192,2.5,No,3,0,2,15,6,9,Yes,Yes,Yes,Low
Male,16,Urban,Primary,14677,0.5,Yes,6,1,2,0,12,14,Yes,Yes,No,Low
Female,16,Rural,Secondary,16300,5.2,Yes,9,0,3,6,1,8,Yes,No,No,Medium
Male,15,Urban,Secondary,51967,5.2,Yes,3,0,1,2,11,8,Yes,No,Yes,Low
Female,16,Rural,None,61505,10.3,Yes,2,0,3,15,12,6,Yes,Yes,Yes,Low
Male,19,Urban,Secondary,29918,6.1,Yes,2,2,2,5,2,1,Yes,Yes,Yes,Medium
Female,19,Rural,Primary,55728,3.3,Yes,7,0,2,13,10,6,Yes,No,Yes,Low
Female,16,Urban,Primary,18423,4.4,Yes,5,0,4,10,7,8,Yes,No,Yes,Low
Male,15,Rural,Secondary,22026,6.5,Yes,8,0,2,20,10,17,Yes,Yes,Yes,Low
Male,16,Urban,Primary,51862,5.7,Yes,6,0,2,18,17,11,Yes,Yes,Yes,Low
Female,16,Rural,Secondary,42061,6.7,Yes,4,0,3,0,6,6,No,Yes,Yes,Low
Female,16,Rural,None,54096,6.1,Yes,4,0,1,20,11,18,Yes,No,Yes,Low
Female,17,Rural,Secondary,37028,4.2,Yes,7,0,1,12,5,15,Yes,Yes,No,Low
Female,19,Rural,Higher,14811,3.4,Yes,2,0,2,19,9,7,Yes,No,Yes,Low
Male,18,Rural,Secondary,33353,3.2,No,2,1,2,8,19,18,No,Yes,No,Low
Male,18,Urban,Secondary,48030,2.2,Yes,5,1,2,10,14,5,Yes,No,Yes,Medium
Male,17,Urban,Higher,28008,1.8,Yes,6,0,3,0,19,1,Yes,Yes,Yes,Low
Female,16,Urban,Primary,25703,10.5,Yes,6,0,1,12,14,1,Yes,Yes,No,Low
Female,17,Rural,None,37257,5.4,Yes,3,0,2,19,18,7,Yes,Yes,Yes,Low
Male,17,Rural,Secondary,21607,4.5,No,13,0,2,0,5,9,Yes,Yes,Yes,Medium
Male,15,Urban,None,34432,3.5,Yes,6,3,2,2,18,20,No,Yes,No,Medium
Male,19,Rural,Higher,30952,6.3,Yes,4,0,2,19,14,20,Yes,No,Yes,Low
Male,18,Rural,Primary,22643,8.6,Yes,7,0,2,16,19,10,No,Yes,Yes,Low
Female,16,Rural,Secondary,44711,7.2,Yes,4,1,4,4,19,19,Yes,Yes,Yes,Low
Female,18,Urban,Secondary,39689,7.8,Yes,9,0,1,5,17,19,Yes,Yes,Yes,Low
Female,18,Urban,Primary,24694,3.2,Yes,4,0,2,16,1,2,No,Yes,Yes,Low
Male,19,Urban,Secondary,29775,5.0,No,4,0,2,9,6,15,Yes,Yes,No,Low
Male,18,Rural,None,25930,3.3,No,8,0,3,10,4,2,Yes,Yes,No,Medium
Female,18,Urban,Secondary,20420,5.3,Yes,4,0,4,12,2,7,No,Yes,No,Low
Female,17,Urban,None,5000,8.8,Yes,7,0,4,9,5,18,No,Yes,No,Low
Female,19,Rural,Higher,22742,6.3,No,4,0,2,13,5,11,No,Yes,No,Low
Female,15,Rural,Higher,20639,9.9,Yes,2,1,2,12,0,17,No,Yes,No,Low
Female,16,Rural,Primary,31723,4.1,Yes,5,0,2,3,18,12,Yes,Yes,No,Low
Female,18,Urban,Primary,36610,2.6,No,4,0,2,19,11,10,Yes,No,Yes,Low
Male,16,Urban,Secondary,17967,6.5,Yes,5,0,3,16,4,12,Yes,Yes,Yes,Low
Male,15,Rural,Primary,35602,5.4,Yes,2,0,2,17,6,20,No,Yes,No,Low
Male,16,Urban,Higher,15656,6.0,Yes,4,0,3,10,19,2,Yes,No,No,Low
Male,15,Urban,Secondary,28120,5.5,Yes,3,0,4,9,7,5,Yes,Yes,Yes,Low
Female,17,Urban,Primary,20963,3.5,No,4,0,2,20,18,2,Yes,Yes,No,Low
Male,18,Urban,Higher,41192,5.6,Yes,6,0,3,17,5,0,Yes,Yes,No,Low
Female,15,Urban,Secondary,31751,7.9,No,9,0,1,18,14,13,Yes,No,Yes,Low
Female,16,Urban,Higher,28347,8.2,Yes,6,2,1,8,5,19,Yes,No,No,Low
Male,18,Urban,Higher,20621,3.5,Yes,8,0,1,4,8,6,Yes,No,No,Low
Male,17,Urban,Primary,25067,5.7,Yes,4,2,1,0,3,8,Yes,No,No,Medium
Female,18,Rural,None,57435,9.4,Yes,5,0,2,4,15,0,Yes,No,Yes,Medium
Male,15,Urban,Higher,22483,3.6,Yes,5,0,2,2,9,9,Yes,No,Yes,Low
Male,17,Rural,Higher,37191,3.1,Yes,6,0,3,0,0,12,Yes,Yes,Yes,Low
Male,16,Urban,None,28310,7.4,No,3,2,1,18,10,11,Yes,Yes,Yes,Medium
Male,17,Urban,Higher,36762,6.9,No,2,1,3,5,16,3,Yes,No,Yes,Medium
Female,17,Rural,Secondary,42554,2.5,Yes,2,3,3,9,17,6,Yes,No,No,High
Female,19,Urban,Primary,24690,0.8,Yes,5,1,3,4,19,9,Yes,Yes,No,Low
Female,17,Urban,Higher,40646,5.6,No,3,0,2,11,19,6,Yes,Yes,Yes,Low
Female,17,Urban,Primary,71349,3.7,Yes,4,3,1,11,14,14,No,No,Yes,Medium
Female,18,Rural,Higher,38513,0.5,Yes,10,3,3,16,5,18,Yes,Yes,No,High
Male,16,Urban,Primary,54203,2.9,No,4,0,3,1,15,6,No,Yes,Yes,Low
Female,18,Urban,Secondary,37215,6.8,Yes,6,2,2,20,1,13,Yes,No,No,Medium
Female,18,Rural,Primary,16020,4.5,Yes,7,0,3,13,2,20,Yes,Yes,No,Low
